locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS12645,2573355,2574068,714,-,Synpcc7942_2492,WP_011243924.1,,ABC transporter ATP-binding protein,amino acid,E,,,ko:K01996,"ko02010,ko02024,map02010,map02024",M00237,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.4,,,ABC_tran,False,,,,False,0.0068,False,,,
SYNPCC7942_RS12650,2574061,2574822,762,-,Synpcc7942_2493,WP_011243923.1,livG,ABC transporter ATP-binding protein,ABC transporter,E,,,ko:K01995,"ko02010,ko02024,map02010,map02024",M00237,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.4,,,"ABC_tran,BCA_ABC_TP_C",False,,,,False,0.0155,False,,,
SYNPCC7942_RS12655,2574819,2575742,924,-,Synpcc7942_2494,WP_011243922.1,livM,branched-chain amino acid ABC transporter permease,Belongs to the binding-protein-dependent transport system permease family,E,,,ko:K01998,"ko02010,ko02024,map02010,map02024",M00237,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.4,,,BPD_transp_2,False,,,,False,0.0056,False,,,
SYNPCC7942_RS12660,2575746,2576687,942,-,Synpcc7942_2495,WP_011243921.1,livH,branched-chain amino acid ABC transporter permease,Belongs to the binding-protein-dependent transport system permease family,E,,,ko:K01997,"ko02010,ko02024,map02010,map02024",M00237,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.4,,,BPD_transp_2,False,,,,False,0.0043,False,,,
SYNPCC7942_RS12665,2576687,2577886,1200,-,Synpcc7942_2496,WP_011243920.1,,ABC transporter substrate-binding protein,branched-chain amino acid,E,,,ko:K01999,"ko02010,ko02024,map02010,map02024",M00237,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.4,,,Peripla_BP_6,False,,,,False,0.0252,False,,,
SYNPCC7942_RS12670,2577916,2578371,456,-,Synpcc7942_2497,WP_011243919.1,ndk,nucleoside-diphosphate kinase,"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate",F,"GO:0003674,GO:0003824,GO:0004550,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006165,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009132,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0019205,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046483,GO:0046939,GO:0055086,GO:0071704,GO:1901360",2.7.4.6,ko:K00940,"ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016","M00049,M00050,M00052,M00053","R00124,R00139,R00156,R00330,R00570,R00722,R01137,R01857,R02093,R02326,R02331,R03530,R11894,R11895",RC00002,"ko00000,ko00001,ko00002,ko01000,ko04131",,,,NDK,False,,,,False,0.011,False,,,
SYNPCC7942_RS12675,2578471,2579715,1245,-,Synpcc7942_2498,WP_011243918.1,,SPFH domain-containing protein,Band 7 protein,S,,,ko:K07192,"ko04910,map04910",,,,"ko00000,ko00001,ko03036,ko04131,ko04147",,,,Band_7,False,,,,False,0.0049,False,,,
SYNPCC7942_RS12680,2579715,2581055,1341,-,Synpcc7942_2499,WP_011243917.1,,SPFH domain-containing protein,Band 7 protein,S,,,ko:K07192,"ko04910,map04910",,,,"ko00000,ko00001,ko03036,ko04131,ko04147",,,,Band_7,False,,,,False,0.0102,False,,,
SYNPCC7942_RS12685,2581096,2581716,621,-,Synpcc7942_2500,WP_011243916.1,,hypothetical protein,,X,,,,,,,,,,,,NfeD,False,,,,False,0.0055,False,,,
SYNPCC7942_RS12690,2581939,2583003,1065,+,Synpcc7942_2501,WP_011243915.1,aroG,3-deoxy-7-phosphoheptulonate synthase,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP),E,,2.5.1.54,ko:K01626,"ko00400,ko01100,ko01110,ko01130,ko01230,ko02024,map00400,map01100,map01110,map01130,map01230,map02024",M00022,R01826,RC00435,"ko00000,ko00001,ko00002,ko01000",,,,DAHP_synth_1,False,,,,False,0.0153,False,,,
SYNPCC7942_RS12695,2583000,2584313,1314,-,Synpcc7942_2502,WP_011378490.1,,hypothetical protein,protein conserved in bacteria,S,,,,,,,,,,,,"DUF1357_C,DUF1537",False,,,,False,0.0075,False,,,
SYNPCC7942_RS12700,2584495,2585460,966,-,Synpcc7942_2503,WP_011378491.1,por,protochlorophyllide reductase,protochlorophyllide,C,,1.3.1.33,ko:K00218,"ko00860,ko01100,ko01110,map00860,map01100,map01110",,"R03845,R06286",RC01008,"ko00000,ko00001,ko01000",,,iJN678.pcr,adh_short,False,,,,False,0.007,False,,,
SYNPCC7942_RS12705,2585668,2586141,474,-,Synpcc7942_2504,WP_011243912.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0054,False,,,
SYNPCC7942_RS12710,2586130,2586786,657,+,Synpcc7942_2505,WP_011243911.1,,class I SAM-dependent methyltransferase,O-methyltransferase,S,,2.1.1.104,ko:K00588,"ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,map00360,map00940,map00941,map00945,map01100,map01110","M00039,M00350","R01942,R06578","RC00003,RC00392","ko00000,ko00001,ko00002,ko01000",,,,Methyltransf_3,False,,,,False,0.0246,False,,,
SYNPCC7942_RS12715,2586799,2587497,699,-,Synpcc7942_2506,WP_011243910.1,cysH,phosphoadenylyl-sulfate reductase,Belongs to the PAPS reductase family. CysH subfamily,C,"GO:0003674,GO:0003824,GO:0004604,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0016491,GO:0016667,GO:0016671,GO:0044424,GO:0044464,GO:0055114","1.8.4.10,1.8.4.8",ko:K00390,"ko00920,ko01100,ko01120,map00920,map01100,map01120",M00176,R02021,"RC00007,RC02862","ko00000,ko00001,ko00002,ko01000",,,,PAPS_reduct,False,,,,False,0.0123,False,,,
SYNPCC7942_RS12720,2587537,2587797,261,-,Synpcc7942_2507,WP_011378493.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0,False,,,
SYNPCC7942_RS12725,2588028,2589224,1197,+,Synpcc7942_2508,WP_011243908.1,ndbB,NAD(P)/FAD-dependent oxidoreductase,"NADH dehydrogenase, FAD-containing subunit",C,,1.6.99.3,ko:K03885,"ko00190,map00190",,,,"ko00000,ko00001,ko01000",,,,Pyr_redox_2,False,,,,False,0.0116,False,,,
SYNPCC7942_RS12730,2589234,2589887,654,+,Synpcc7942_2509,WP_011243907.1,,HAD family hydrolase,Haloacid dehalogenase-like hydrolase,S,,,ko:K07025,,,,,ko00000,,,,"HAD_2,Hydrolase",False,,,,False,0.018,False,,,
SYNPCC7942_RS12735,2589959,2590171,213,+,Synpcc7942_2510,WP_011243906.1,infA,translation initiation factor IF-1,"One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex",J,"GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0043021,GO:0043022,GO:0044424,GO:0044444,GO:0044464,GO:0044877",,ko:K02518,,,,,"ko00000,ko03012",,,,eIF-1a,False,,,,False,0.0232,False,,,
SYNPCC7942_RS12740,2590256,2590759,504,-,Synpcc7942_2511,WP_011378494.1,,SRPBCC family protein,PFAM Polyketide cyclase dehydrase and lipid transport,S,,,,,,,,,,,,Polyketide_cyc,False,,,,False,0.006,False,,,
SYNPCC7942_RS12745,2590765,2592123,1359,-,Synpcc7942_2512,WP_011378495.1,rimO,30S ribosomal protein S12 methylthiotransferase RimO,Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12,J,,2.8.4.4,ko:K14441,,,R10652,"RC00003,RC03217","ko00000,ko01000,ko03009",,,,"Radical_SAM,TRAM,UPF0004",False,,,,False,0.0055,False,,,
SYNPCC7942_RS12755,2592306,2593169,864,+,Synpcc7942_2513,WP_011243903.1,btpA,BtpA/SgcQ family protein,biogenesis protein btpA,S,,,ko:K06971,,,,,ko00000,,,,BtpA,False,,,,False,0.007,False,,,
SYNPCC7942_RS12760,2593241,2594158,918,+,Synpcc7942_2514,WP_011243902.1,argF,ornithine carbamoyltransferase,Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline,E,"GO:0000050,GO:0003674,GO:0003824,GO:0004585,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006591,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0016743,GO:0019627,GO:0019752,GO:0034641,GO:0042450,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.1.3.3,ko:K00611,"ko00220,ko01100,ko01110,ko01130,ko01230,map00220,map01100,map01110,map01130,map01230","M00029,M00844",R01398,RC00096,"ko00000,ko00001,ko00002,ko01000",,,,"OTCace,OTCace_N",False,,,,False,0.0131,False,,,
SYNPCC7942_RS12765,2594192,2596459,2268,-,Synpcc7942_2515,WP_011243901.1,,ATP-dependent helicase,helicase,L,,3.6.4.12,ko:K03657,"ko03420,ko03430,map03420,map03430",,,,"ko00000,ko00001,ko01000,ko03400",,,,"UvrD-helicase,UvrD_C",False,,,,False,0.0154,False,,,
SYNPCC7942_RS12775,2596719,2596958,240,-,Synpcc7942_2516,WP_011378497.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0072,False,,,
SYNPCC7942_RS12780,2597031,2597729,699,-,Synpcc7942_2517,WP_011243900.1,,hypothetical protein,outer membrane autotransporter barrel domain protein,MU,,,,,,,,,,,,,False,,,,False,0.0137,False,,,
SYNPCC7942_RS12785,2597751,2599148,1398,-,Synpcc7942_2518,WP_011378498.1,glgA,glycogen synthase GlgA,"Synthesizes alpha-1,4-glucan chains using ADP-glucose",F,"GO:0003674,GO:0003824,GO:0016740,GO:0016757",2.4.1.21,ko:K00703,"ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026",M00565,R02421,RC00005,"ko00000,ko00001,ko00002,ko01000,ko01003",,GT5,,"Glyco_transf_5,Glycos_transf_1",False,,,,False,0.0082,False,,,
SYNPCC7942_RS12790,2599191,2601896,2706,-,Synpcc7942_2519,WP_011378499.1,,EAL domain-containing protein,Putative diguanylate phosphodiesterase,T,,3.1.4.52,ko:K21024,"ko02025,map02025",,,,"ko00000,ko00001,ko01000",,,,"EAL,GGDEF,MASE1,PAS_3",False,,,,False,0.0099,False,,,
SYNPCC7942_RS12795,2601979,2602689,711,-,Synpcc7942_2520,WP_011378500.1,,LOG family protein,Possible lysine decarboxylase,S,,3.2.2.10,ko:K06966,"ko00230,ko00240,map00230,map00240",,"R00182,R00510","RC00063,RC00318","ko00000,ko00001,ko01000",,,,Lysine_decarbox,False,,,,False,0.0091,False,,,
SYNPCC7942_RS12800,2602698,2604026,1329,-,Synpcc7942_2521,WP_011378501.1,,PhoH family protein,ATPase related to phosphate starvation-inducible protein PhoH,T,,,ko:K07175,,,,,ko00000,,,,"PIN_4,PhoH",False,,,,False,0.0393,False,,,
SYNPCC7942_RS12805,2604084,2605010,927,-,Synpcc7942_2522,WP_011378502.1,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,Glycerol-3-phosphate dehydrogenase,I,,1.1.1.94,ko:K00057,"ko00564,ko01110,map00564,map01110",,"R00842,R00844",RC00029,"ko00000,ko00001,ko01000",,,iJN678.gpsA,"NAD_Gly3P_dh_C,NAD_Gly3P_dh_N",False,,,,False,0.009,False,,,
SYNPCC7942_RS14110,2605123,2605266,144,+,,WP_155813999.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0063,False,,,
SYNPCC7942_RS12815,2605278,2606702,1425,+,Synpcc7942_2524,WP_011378504.1,tig,trigger factor,Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase,D,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",,ko:K03545,,,,,ko00000,,,,"FKBP_C,Trigger_C,Trigger_N",False,,,,False,0.0084,False,,,
SYNPCC7942_RS12820,2606902,2607516,615,+,Synpcc7942_2525,WP_190528536.1,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins,O,,3.4.21.92,ko:K01358,"ko04112,ko04212,map04112,map04212",,,,"ko00000,ko00001,ko01000,ko01002",,,,CLP_protease,False,,,,False,0.0081,False,,,
SYNPCC7942_RS12825,2607529,2608878,1350,+,Synpcc7942_2526,WP_011243893.1,clpX,ATP-dependent protease ATP-binding subunit ClpX,ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP,O,"GO:0000166,GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005524,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0030163,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0051301,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575",,ko:K03544,"ko04112,map04112",,,,"ko00000,ko00001,ko03110",,,,"AAA_2,ClpB_D2-small,zf-C4_ClpX",False,,,,False,0.0112,False,,,
SYNPCC7942_RS12830,2608875,2609717,843,+,Synpcc7942_2527,WP_011243892.1,,alpha/beta hydrolase,"Serine aminopeptidase, S33",I,,,,,,,,,,,,Abhydrolase_1,False,,,,False,0.0139,False,,,
SYNPCC7942_RS12835,2609741,2610427,687,+,Synpcc7942_2528,WP_011378506.1,,lecithin retinol acyltransferase family protein,Lecithin retinol acyltransferase,KT,,,,,,,,,,,,"LRAT,PspA_IM30",False,,,,False,0.0069,False,,,
SYNPCC7942_RS12840,2610753,2611037,285,-,Synpcc7942_2529,WP_011378507.1,,DUF4278 domain-containing protein,,X,,,,,,,,,,,,,False,,,,False,0.0133,False,,,
SYNPCC7942_RS12845,2611383,2612138,756,+,Synpcc7942_2530,WP_011378508.1,rpsB,30S ribosomal protein S2,Belongs to the universal ribosomal protein uS2 family,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02967,"ko03010,map03010","M00178,M00179",,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_S2,False,,,,False,0.0122,False,,,
SYNPCC7942_RS12850,2612241,2612906,666,+,Synpcc7942_2531,WP_011243889.1,tsf,translation elongation factor Ts,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",,ko:K02357,,,,,"ko00000,ko03012,ko03029",,,,EF_TS,False,,,,False,0.0061,False,,,
SYNPCC7942_RS12855,2612990,2613889,900,-,Synpcc7942_2532,WP_011378509.1,,alpha/beta fold hydrolase,Alpha beta hydrolase,I,,,,,,,,,,,,"Abhydrolase_1,Abhydrolase_6",False,,,,False,0.0083,False,,,
SYNPCC7942_RS12860,2613998,2614378,381,+,Synpcc7942_2533,WP_011243887.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0072,False,,,
SYNPCC7942_RS12865,2614395,2615711,1317,-,Synpcc7942_2534,WP_011243886.1,,sensor domain-containing diguanylate cyclase,GGDEF domain,T,,,,,,,,,,,,"CHASE,EAL,GAF,GGDEF,PAS_4,PAS_9,Response_reg",False,,,,False,0.0087,False,,,
SYNPCC7942_RS12870,2615904,2619110,3207,+,Synpcc7942_2535,WP_155814000.1,,diguanylate cyclase,diguanylate cyclase,T,,,,,,,,,,,,"CBS,GAF,GAF_2,GGDEF,PAS_3,PAS_9",False,,,,False,0.0,False,,,
SYNPCC7942_RS12875,2619093,2619626,534,-,Synpcc7942_2536,WP_011378512.1,,DnaJ domain-containing protein,DnaJ molecular chaperone homology domain,O,,,,,,,,,,,,"DnaJ,TPR_2",False,,,,False,0.0098,False,,,
SYNPCC7942_RS12880,2619632,2620231,600,-,Synpcc7942_2537,WP_011243883.1,clpP3,ATP-dependent Clp protease proteolytic subunit,Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins,O,,3.4.21.92,ko:K01358,"ko04112,ko04212,map04112,map04212",,,,"ko00000,ko00001,ko01000,ko01002",,,,CLP_protease,False,,,,False,0.0073,False,,,
SYNPCC7942_RS12885,2620274,2620960,687,-,Synpcc7942_2538,WP_011243882.1,clpP,ATP-dependent Clp protease proteolytic subunit,Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins,O,,3.4.21.92,ko:K01358,"ko04112,ko04212,map04112,map04212",,,,"ko00000,ko00001,ko01000,ko01002",,,,CLP_protease,False,,,,False,0.0081,False,,,
SYNPCC7942_RS12890,2621102,2621656,555,-,Synpcc7942_2539,WP_126147352.1,,thylakoid membrane photosystem I accumulation factor,"COG0526, thiol-disulfide isomerase and thioredoxins",CO,,,,,,,,,,,,Thioredoxin_2,False,,,,False,0.0084,False,,,
SYNPCC7942_RS12895,2621837,2622298,462,-,Synpcc7942_2540,WP_011243880.1,,cupredoxin domain-containing protein,"PFAM Copper binding proteins, plastocyanin azurin family",P,,,,,,,,,,,,"Copper-bind,Cupredoxin_1",False,,,,False,0.0095,False,,,
SYNPCC7942_RS12900,2622404,2622766,363,+,Synpcc7942_2541,WP_039755904.1,rplS,50S ribosomal protein L19,This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",,ko:K02884,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_L19,False,,,,False,0.0103,False,,,
SYNPCC7942_RS12915,2623378,2623725,348,-,Synpcc7942_2542,WP_011243878.1,petJ,c-type cytochrome,"COG2010 Cytochrome c, mono- and diheme variants",C,,,ko:K08906,"ko00195,map00195",,,,"ko00000,ko00001,ko00194",,,,Cytochrome_CBB3,False,,,,False,0.0087,False,,,
SYNPCC7942_RS12920,2623742,2624449,708,-,Synpcc7942_2543,WP_011243877.1,,uracil-DNA glycosylase,Uracil-DNA glycosylase,L,,3.2.2.27,ko:K21929,"ko03410,map03410",,,,"ko00000,ko00001,ko01000,ko03400",,,,UDG,False,,,,False,0.0076,False,,,
SYNPCC7942_RS12925,2624479,2624868,390,-,Synpcc7942_2544,WP_011243876.1,,glyoxalase/bleomycin resistance/dioxygenase family protein,glyoxalase bleomycin resistance protein dioxygenase,E,,,,,,,,,,,,Glyoxalase,False,,,,False,0.0123,False,,,
SYNPCC7942_RS12930,2624982,2626160,1179,+,Synpcc7942_2545,WP_011243875.1,aspC,pyridoxal phosphate-dependent aminotransferase,Aminotransferase,E,,2.6.1.1,ko:K00812,"ko00220,ko00250,ko00270,ko00330,ko00350,ko00360,ko00400,ko00401,ko00950,ko00960,ko01100,ko01110,ko01130,ko01210,ko01230,map00220,map00250,map00270,map00330,map00350,map00360,map00400,map00401,map00950,map00960,map01100,map01110,map01130,map01210,map01230",,"R00355,R00694,R00734,R00896,R02433,R02619,R05052",RC00006,"ko00000,ko00001,ko01000,ko01007",,,,Aminotran_1_2,False,,,,False,0.0126,False,,,
SYNPCC7942_RS12935,2626237,2626956,720,+,Synpcc7942_2546,WP_011243874.1,tesA,GDSL-type esterase/lipase family protein,COG2755 Lysophospholipase L1 and related esterases,E,,,,,,,,,,,,Lipase_GDSL_2,False,,,,False,0.0119,False,,,
SYNPCC7942_RS12940,2627005,2627325,321,+,Synpcc7942_2547,WP_011243873.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0077,False,,,
SYNPCC7942_RS12945,2627423,2628031,609,+,Synpcc7942_2548,WP_011243872.1,leuD,3-isopropylmalate dehydratase small subunit,"Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate",E,,"4.2.1.33,4.2.1.35",ko:K01704,"ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230","M00432,M00535","R03896,R03898,R03968,R04001,R10170","RC00976,RC00977,RC01041,RC01046,RC03072","br01601,ko00000,ko00001,ko00002,ko01000",,,,Aconitase_C,False,,,,False,0.0073,False,,,
SYNPCC7942_RS12950,2628104,2628358,255,-,Synpcc7942_2549,WP_011378515.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0099,False,,,
SYNPCC7942_RS12955,2628487,2629560,1074,+,Synpcc7942_2550,WP_011243871.1,,ATP-binding protein,Belongs to the peptidase S16 family,LO,,,,,,,,,,,,,False,,,,False,0.0258,False,,,
SYNPCC7942_RS12960,2629557,2629802,246,-,,WP_011243870.1,hypC,HypC/HybG/HupF family hydrogenase formation chaperone,HupF/HypC family,O,,,ko:K04653,,,,,ko00000,,,,HupF_HypC,False,,,,False,0.0087,False,,,
SYNPCC7942_RS12965,2629750,2632062,2313,-,Synpcc7942_2551,WP_011243869.1,hypF,carbamoyltransferase HypF,Belongs to the carbamoyltransferase HypF family,O,,,ko:K04656,,,,,ko00000,,,,"Acylphosphatase,Sua5_yciO_yrdC,zf-HYPF",False,,,,False,0.0075,False,,,
SYNPCC7942_RS12970,2632134,2632862,729,-,Synpcc7942_2552,WP_011243868.1,hypB,hydrogenase nickel incorporation protein HypB,"CobW/HypB/UreG, nucleotide-binding domain",KO,,,ko:K04652,,,,,"ko00000,ko03110",,,,cobW,False,,,,False,0.0129,False,,,
SYNPCC7942_RS12975,2632863,2633201,339,-,Synpcc7942_2553,WP_011243867.1,hypA,hydrogenase maturation nickel metallochaperone HypA,Probably plays a role in a hydrogenase nickel cofactor insertion step,J,,,ko:K04651,,,,,"ko00000,ko03110",,,,HypA,False,,,,False,0.0105,False,,,
SYNPCC7942_RS12980,2633189,2633647,459,-,Synpcc7942_2554,WP_011243866.1,,hydrogenase maturation protease,TIGRFAM hydrogenase maturation protease,C,,,,,,,,,,,,,False,,,,False,0.0083,False,,,
SYNPCC7942_RS12985,2633656,2635086,1431,-,Synpcc7942_2555,WP_011378516.1,hoxH,Ni/Fe hydrogenase subunit alpha,Nickel-dependent hydrogenase,C,,1.12.1.2,ko:K00436,,,R00700,,"ko00000,ko01000",,,iJN678.hoxH,NiFeSe_Hases,False,,,,False,0.0087,False,,,
SYNPCC7942_RS12990,2635096,2635650,555,-,Synpcc7942_2556,WP_011243864.1,hoxY,oxidoreductase,"NADH ubiquinone oxidoreductase, 20 Kd subunit",C,,1.12.1.2,ko:K18007,,,,,"ko00000,ko01000",,,iJN678.hoxY,Oxidored_q6,False,,,,False,0.0085,False,,,
SYNPCC7942_RS12995,2635638,2636354,717,-,Synpcc7942_2557,WP_011378517.1,hoxU,bidirectional hydrogenase complex protein HoxU,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region,C,,1.6.5.3,ko:K05588,"ko00190,ko01100,map00190,map01100",,R11945,RC00061,"ko00000,ko00001,ko01000",,,iJN678.hoxU,"Fer2_4,Fer4,Fer4_10,Fer4_6,Fer4_9,NADH-G_4Fe-4S_3",False,,,,False,0.0122,False,,,
SYNPCC7942_RS13000,2636518,2637684,1167,+,Synpcc7942_2558,WP_011243862.1,iscS,cysteine desulfurase,COG1104 Cysteine sulfinate desulfinase cysteine desulfurase and related enzymes,E,,2.8.1.7,ko:K04487,"ko00730,ko01100,ko04122,map00730,map01100,map04122",,"R07460,R11528,R11529","RC01789,RC02313","ko00000,ko00001,ko01000,ko02048,ko03016,ko03029",,,,Aminotran_5,False,,,,False,0.0065,False,,,
SYNPCC7942_RS13005,2637730,2638188,459,-,Synpcc7942_2559,WP_011243861.1,rplI,50S ribosomal protein L9,Binds to the 23S rRNA,J,"GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02939,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,"Ribosomal_L9_C,Ribosomal_L9_N",False,,,,False,0.009,False,,,
